INFORMACIÓN SOBRE TARIFAS;;;;;;;;;;;;;
"ENERBIT S.A.S E.S.P. informa a sus clientes regulados las tarifas de prestación del servicio de energía eléctrica vigentes, calculadas con base en las resoluciones CREG 119/07 (Fórmula Tarifaria), CREG 101 028/23 (Costo Opcion Tarifaria), 101 002/2022(Compras de Energía), 174/2021(Compras de Energía de AGPE y GD), 103/00(Cargos Uso STN), 019/07(IPP), 010/09(IPC), 058/08 y 133/13(Cargos ADD), 025 y 079/21 (aprobación cargos por uso STR-SDL Afinia), 180 y 191/14(remuneración comercialización), 036, 124 y 189/15, y 229/2016 (Costos de Comercialización), 036/06 (Garantías Financieras), 015 y 085/18, 036, 178 y 199/19(Metodología cargos uso STR SDL), 010/2020 (Régimen tarifario especial Caribe); 003/21, 105 005/2022 (Subsidios estratos 1-2) y Resoluciones UPME 0355/04 y 013/05 (consumo subsistencia).";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
COMPONENTES DEL COSTO UNITARIO DE PRESTACIÓN DEL SERVICIO CU ($/kWh);;;;;;;;;;;;;
Componentes transversales:;;;;;T:;55,95;R:;30,50;;Abril 21 de 2026;;;
;;;;;;;;;;;;;
Mercado;;Pereira ;;Cf ($/Fact):;; 14.429,05 ;; Afinia;;Cf ($/Fact):;; 16.425,46 ;
Nivel de Tensión;;G;D;PR;C+COT;CU+COT;COT;G;D;PR;C+COT;CU+COT;COT
CU1 Prop, OR;; 334,41 ; 315,70 ; 60,72 ; 41,76 ; 839,04 ;0,00; 281,03 ; 177,48 ; 57,84 ; 138,52 ; 741,32 ;84,56
CU12 Prop, Mixta;; 334,41 ; 293,71 ; 60,72 ; 41,76 ; 817,05 ;0,00; 281,03 ; 162,54 ; 57,84 ; 138,52 ; 726,38 ;84,56
CU1 Prop, Cliente;; 334,41 ; 271,71 ; 60,72 ; 41,76 ; 795,05 ;0,00; 281,03 ; 147,60 ; 57,84 ; 138,52 ; 711,44 ;84,56
CU2;; 334,41 ; 206,07 ; 25,01 ; 41,76 ; 693,70 ;0,00; 281,03 ; 123,15 ; 10,59 ; 117,99 ; 619,21 ;64,03
CU3;; 334,41 ; 90,67 ; 21,83 ; 41,76 ; 575,12 ;0,00; 281,03 ; 92,76 ; 8,02 ; 53,96 ; 522,22 ;0,00
CU4;; 334,41 ; 34,05 ; 15,84 ; 41,76 ; 512,51 ;0,00; 281,03 ; 39,84 ;-0,82 ; 53,96 ; 460,46 ;0,00
Mercado;;Valle;;Cf ($/Fact):;; 17.504,79 ;;Antioquia;;Cf ($/Fact):;; 9.368,48 ;
